[0]	4168544481
[1]	 0745560890
[2]	  0502813631
[3]	   0155671382
[4]	    0145415468
[4]	    0411236015
[3]	   0543440825
[4]	    0589828763
[2]	  1438078799
[3]	   1239306062
[4]	    1186569462
[4]	    1295390185
[5]	     1259886063
[3]	   2502150387
[4]	    1523075445
[5]	     1944661298
[6]	      1658903855
[6]	      2227184109
[4]	    3597864865
[5]	     3119672155
[5]	     3776707968
[1]	 7360866099
[2]	  5573198972
[3]	   4983870842
[4]	    4230069480
[5]	     4619589919
[6]	      4301797515
[6]	      4631135668
[4]	    5154813056
[3]	   6079655736
[4]	    5913593215
[5]	     6013687346
[4]	    7276220891
[5]	     7141052334
[5]	     7297838996
[2]	  9065522655
[3]	   8208360851
[4]	    7887427819
[5]	     7687384794
[5]	     7918055001
[4]	    8551699728
[5]	     8282446987
[3]	   9686885923
[4]	    9577508938
[5]	     9100638302
[5]	     9633618482
[4]	    9860257744
[5]	     9812227278
